ID,Make,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,CO2_Emissions
134,Buick,Mid-size,2,4,AS9,Z,10.6,7.4,9.1,214
135,Buick,Mid-size,2,4,AS8,Z,11,8,9.6,227
136,Buick,Mid-size,3.6,6,AS9,X,12.4,8.7,10.7,251
137,Cadillac,Full-size,3,6,AS10,Z,13.1,9.1,11.3,267
138,Cadillac,Full-size,3.6,6,AS10,X,13,8.8,11.1,261
139,Cadillac,Full-size,4.2,8,AS10,Z,17.3,9.5,13.8,324
140,Cadillac,Mid-size,2,4,AS8,Z,11,7.8,9.5,222
141,Cadillac,Mid-size,3.6,6,AS8,X,12.3,8.2,10.5,246
142,Cadillac,Mid-size,2,4,AS8,Z,11.4,8.1,9.9,232
143,Cadillac,Mid-size,3.6,6,AS8,X,13.3,9.2,11.5,269
144,Cadillac,Mid-size,3.6,6,AS8,Z,15,9.9,12.7,298
145,Cadillac,Mid-size,6.2,8,AS8,Z,17.1,11,14.3,337
146,Cadillac,SUV: Standard,6.2,8,A10,Z,16.6,10.9,14,328
147,Cadillac,SUV: Small,2,4,AS9,Z,9.8,7.8,8.9,209
148,Cadillac,SUV: Small,2,4,AS9,Z,10.9,8.2,9.7,227
149,Cadillac,SUV: Small,3.6,6,AS8,X,12.1,8.9,10.6,250
150,Cadillac,SUV: Small,3.6,6,AS8,X,12.8,9.3,11.2,263
151,Cadillac,Full-size,3.6,6,AS6,X,12.9,8.7,11,259
152,Cadillac,Full-size,3.6,6,AS6,X,13.7,9,11.6,272
153,Cadillac,Full-size,3.6,6,AS6,Z,15,10.1,12.8,302
154,Chevrolet,SUV: Small,2.5,4,A9,X,10.8,8.8,9.9,232
155,Chevrolet,SUV: Small,3.6,6,A9,X,12,9,10.6,250
156,Chevrolet,SUV: Small,3.6,6,A9,X,12.7,9.5,11.3,265
157,Chevrolet,Subcompact,2,4,AS8,Z,10.8,7.7,9.4,220
158,Chevrolet,Subcompact,2,4,M6,Z,11.9,7.9,10.1,235
159,Chevrolet,Subcompact,3.6,6,AS8,X,12.3,8.2,10.4,246
160,Chevrolet,Subcompact,3.6,6,M6,X,14.3,8.8,11.8,277
161,Chevrolet,Subcompact,6.2,8,AS10,Z,14.5,8.8,12,279
162,Chevrolet,Subcompact,6.2,8,M6,Z,14.9,9.9,12.6,297
163,Chevrolet,Subcompact,6.2,8,AS10,Z,18.3,11.2,15.1,355
164,Chevrolet,Subcompact,6.2,8,M6,Z,17.2,12,14.9,349
165,Chevrolet,Pickup truck: Small,2.5,4,A6,X,12.1,9.2,10.8,253
166,Chevrolet,Pickup truck: Small,2.5,4,M6,X,11.9,9.2,10.7,251
167,Chevrolet,Pickup truck: Small,2.8,4,A6,D,11.8,7.9,10.1,270
168,Chevrolet,Pickup truck: Small,3.6,6,A8,X,13.4,9.6,11.7,274
