ID,Make,Model,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,CO2_Emissions
173,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.60,6,A8,X,15.00,13.00,14.10,331.00
174,Chevrolet,Corvette,Two-seater,6.20,8,AS8,Z,15.60,9.20,12.70,299.00
175,Chevrolet,Corvette,Two-seater,6.20,8,M7,Z,14.60,9.30,12.20,286.00
176,Chevrolet,Corvette Z06,Two-seater,6.20,8,AS8,Z,17.20,10.10,14.00,331.00
177,Chevrolet,Corvette Z06,Two-seater,6.20,8,M7,Z,15.90,10.60,13.50,318.00
178,Chevrolet,Corvette ZR1,Two-seater,6.20,8,AS8,Z,19.50,12.00,16.10,381.00
179,Chevrolet,Corvette ZR1,Two-seater,6.20,8,M7,Z,18.20,12.50,15.60,368.00
180,Chevrolet,Cruze,Compact,1.40,4,AS6,X,8.30,6.20,7.30,172.00
181,Chevrolet,Cruze Premier,Compact,1.40,4,AS6,X,8.30,6.20,7.30,172.00
182,Chevrolet,Cruze Diesel,Compact,1.60,4,A9,D,7.60,4.90,6.40,172.00
183,Chevrolet,Cruze Hatchback,Mid-size,1.40,4,AS6,X,8.30,6.20,7.30,172.00
184,Chevrolet,Cruze Hatchback Premier,Mid-size,1.40,4,AS6,X,8.50,6.40,7.50,175.00
185,Chevrolet,Cruze Hatchback Diesel,Mid-size,1.60,4,A9,D,7.80,5.20,6.60,178.00
186,Chevrolet,Equinox,SUV: Small,1.50,4,A6,X,9.20,7.30,8.30,196.00
187,Chevrolet,Equinox,SUV: Small,1.60,4,A6,D,8.50,6.00,7.40,199.00
188,Chevrolet,Equinox AWD,SUV: Small,1.50,4,A6,X,9.30,7.80,8.60,207.00
189,Chevrolet,Equinox AWD,SUV: Small,1.60,4,A6,D,8.50,6.10,7.40,199.00
190,Chevrolet,Equinox AWD,SUV: Small,2.00,4,A9,Z,10.90,8.30,9.70,228.00
191,Chevrolet,Impala,Full-size,2.50,4,AS6,X,10.80,8.00,9.60,225.00
192,Chevrolet,Impala,Full-size,3.60,6,AS6,X,12.70,8.50,10.80,254.00
193,Chevrolet,Impala,Full-size,3.60,6,AS6,E,17.20,11.60,14.60,245.00
194,Chevrolet,Malibu,Mid-size,1.50,4,AV,X,8.20,6.60,7.50,174.00
195,Chevrolet,Malibu,Mid-size,2.00,4,A9,Z,10.50,7.40,9.10,214.00
196,Chevrolet,Malibu Hybrid,Mid-size,1.80,4,AV,X,4.80,5.50,5.10,121.00
197,Chevrolet,Silverado,Pickup truck: Standard,2.70,4,A8,X,11.90,10.30,11.10,261.00
198,Chevrolet,Silverado,Pickup truck: Standard,4.30,6,A6,X,15.10,11.50,13.50,316.00
199,Chevrolet,Silverado,Pickup truck: Standard,5.30,8,A6,X,15.90,11.40,13.90,326.00
200,Chevrolet,Silverado FFV,Pickup truck: Standard,5.30,8,A6,X,15.70,11.90,14.00,329.00
201,Chevrolet,Silverado FFV,Pickup truck: Standard,5.30,8,A6,E,21.10,15.00,18.40,306.00
202,Chevrolet,Silverado,Pickup truck: Standard,5.30,8,A8,X,14.10,10.20,12.40,290.00
203,Chevrolet,Silverado 4WD,Pickup truck: Standard,2.70,4,A8,X,12.50,10.80,11.70,275.00
204,Chevrolet,Silverado 4WD,Pickup truck: Standard,4.30,6,A6,X,15.80,11.90,14.00,329.00
205,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,4.30,6,A6,X,16.30,12.90,14.80,347.00
206,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.30,8,A6,X,15.90,11.70,14.00,329.00
207,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.30,8,A6,X,16.10,12.50,14.40,339.00
208,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.30,8,A6,E,22.00,16.10,19.30,322.00
209,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,5.30,8,A6,X,16.50,13.00,14.90,350.00
210,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.30,8,A8,X,14.90,10.80,13.10,306.00
211,Chevrolet,Silverado 4WD Trail Boss,Pickup truck: Standard,5.30,8,A8,X,15.30,11.80,13.70,320.00
212,Chevrolet,Silverado 4WD,Pickup truck: Standard,6.20,8,A10,Z,15.00,12.00,13.70,321.00
213,Chevrolet,Silverado LD,Pickup truck: Standard,5.30,8,A6,X,15.60,10.90,13.50,317.00
214,Chevrolet,Silverado LD 4WD,Pickup truck: Standard,5.30,8,A6,X,15.80,11.40,13.80,325.00
215,Chevrolet,Spark,Subcompact,1.40,4,AV,X,7.90,6.20,7.10,167.00
216,Chevrolet,Spark,Subcompact,1.40,4,M5,X,8.00,6.20,7.20,170.00
217,Chevrolet,Suburban,SUV: Standard,5.30,8,A6,X,15.70,10.50,13.40,314.00
218,Chevrolet,Suburban FFV,SUV: Standard,5.30,8,A6,X,15.70,10.50,13.40,314.00
219,Chevrolet,Suburban FFV,SUV: Standard,5.30,8,A6,E,21.20,13.90,17.90,298.00
220,Chevrolet,Suburban 4WD,SUV: Standard,5.30,8,A6,X,16.80,11.30,14.30,336.00
221,Chevrolet,Suburban 4WD FFV,SUV: Standard,5.30,8,A6,X,16.80,11.30,14.30,336.00
222,Chevrolet,Suburban 4WD FFV,SUV: Standard,5.30,8,A6,E,22.20,15.20,19.00,317.00
223,Chevrolet,Suburban 4WD,SUV: Standard,6.20,8,A10,Z,17.10,11.30,14.50,340.00
224,Chevrolet,Tahoe,SUV: Standard,5.30,8,A6,X,15.70,10.50,13.40,314.00
225,Chevrolet,Tahoe FFV,SUV: Standard,5.30,8,A6,X,15.70,10.50,13.40,314.00
226,Chevrolet,Tahoe FFV,SUV: Standard,5.30,8,A6,E,21.20,13.90,17.90,298.00
227,Chevrolet,Tahoe 4WD,SUV: Standard,5.30,8,A6,X,15.80,11.10,13.70,321.00
228,Chevrolet,Tahoe 4WD FFV,SUV: Standard,5.30,8,A6,X,15.80,11.10,13.70,321.00
229,Chevrolet,Tahoe 4WD FFV,SUV: Standard,5.30,8,A6,E,21.70,14.30,18.40,305.00
230,Chevrolet,Tahoe 4WD,SUV: Standard,6.20,8,A10,Z,16.40,10.70,13.80,325.00
231,Chevrolet,Traverse,SUV: Standard,3.60,6,A9,X,13.00,8.80,11.10,261.00
232,Chevrolet,Traverse AWD,SUV: Standard,3.60,6,A9,X,13.70,9.50,11.80,277.00
233,Chevrolet,Trax,SUV: Small,1.40,4,AS6,X,9.10,7.60,8.40,196.00
234,Chevrolet,Trax,SUV: Small,1.40,4,M6,X,9.40,6.90,8.30,194.00
235,Chevrolet,Trax 4WD,SUV: Small,1.40,4,AS6,X,9.90,8.10,9.10,214.00
236,Chrysler,300,Full-size,3.60,6,A8,X,12.40,7.80,10.30,242.00
237,Chrysler,300 FFV,Full-size,3.60,6,A8,X,12.40,7.80,10.30,242.00
238,Chrysler,300 FFV,Full-size,3.60,6,A8,E,17.10,10.60,14.20,234.00
239,Chrysler,300,Full-size,5.70,8,A8,X,14.70,9.40,12.30,289.00
240,Chrysler,300 AWD,Full-size,3.60,6,A8,X,12.80,8.70,11.00,258.00
241,Chrysler,300 AWD FFV,Full-size,3.60,6,A8,X,12.80,8.70,11.00,258.00
242,Chrysler,300 AWD FFV,Full-size,3.60,6,A8,E,17.60,12.00,15.00,248.00
243,Chrysler,Pacifica,Minivan,3.60,6,A9,X,12.90,8.40,10.90,259.00
244,Chrysler,Pacifica (Stop-Start),Minivan,3.60,6,A9,X,12.40,8.40,10.60,249.00
245,Dodge,Challenger,Mid-size,3.60,6,A8,X,12.40,7.80,10.30,242.00
246,Dodge,Challenger,Mid-size,5.70,8,M6,Z,15.60,10.10,13.10,307.00
247,Dodge,Challenger,Mid-size,6.40,8,M6,Z,16.70,10.40,13.90,325.00
248,Dodge,Challenger (MDS),Mid-size,5.70,8,A8,X,14.70,9.40,12.30,289.00
249,Dodge,Challenger (MDS),Mid-size,6.40,8,A8,Z,15.80,9.60,13.00,304.00
250,Dodge,Challenger GT AWD,Mid-size,3.60,6,A8,X,12.80,8.70,11.00,258.00
251,Dodge,Challenger SRT Hellcat,Mid-size,6.20,8,A8,Z,17.60,10.70,14.50,339.00
252,Dodge,Challenger SRT Hellcat,Mid-size,6.20,8,M6,Z,18.10,11.40,15.10,352.00
253,Dodge,Challenger SRT Hellcat Redeye,Mid-size,6.20,8,A8,Z,17.60,10.70,14.50,339.00
254,Dodge,Charger,Full-size,3.60,6,A5,X,13.70,9.00,11.60,271.00
255,Dodge,Charger FFV,Full-size,3.60,6,A5,X,13.70,9.00,11.60,271.00
256,Dodge,Charger FFV,Full-size,3.60,6,A5,E,18.90,12.70,16.10,268.00
257,Dodge,Charger,Full-size,3.60,6,A8,X,12.40,7.80,10.30,242.00
258,Dodge,Charger FFV,Full-size,3.60,6,A8,X,12.40,7.80,10.30,242.00
259,Dodge,Charger FFV,Full-size,3.60,6,A8,E,17.10,10.60,14.20,234.00
260,Dodge,Charger (MDS),Full-size,5.70,8,A5,X,15.60,9.70,12.90,302.00
261,Dodge,Charger (MDS),Full-size,5.70,8,A8,X,14.70,9.40,12.30,289.00
262,Dodge,Charger (MDS),Full-size,6.40,8,A8,Z,15.80,9.60,13.00,304.00
263,Dodge,Charger AWD,Full-size,3.60,6,A8,X,12.80,8.70,11.00,258.00
264,Dodge,Charger AWD FFV,Full-size,3.60,6,A8,X,12.80,8.70,11.00,258.00
265,Dodge,Charger AWD FFV,Full-size,3.60,6,A8,E,17.60,12.00,15.00,248.00
266,Dodge,Charger AWD (MDS),Full-size,5.70,8,A5,X,16.00,10.10,13.30,312.00
267,Dodge,Charger SRT Hellcat,Full-size,6.20,8,A8,Z,17.60,10.70,14.50,339.00
268,Dodge,Durango AWD,SUV: Standard,3.60,6,A8,X,12.70,9.60,11.30,265.00
269,Dodge,Durango AWD,SUV: Standard,5.70,8,A8,X,16.70,10.90,14.10,331.00
270,Dodge,Durango AWD SRT,SUV: Standard,6.40,8,A8,Z,18.30,12.20,15.60,363.00
271,Dodge,Grand Caravan FFV,Minivan,3.60,6,A6,X,13.70,9.40,11.80,276.00
